target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,sound_1_started,sound_1_stopped,image_4_started,image_4_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,16,232,1,,NaN,NaN,,NaN,,NaN,,main,2,2,1,neutral,neutral,k,k,1,0.614603000001807,652.511833700002,653.511413,653.504602400004,None,652.511833700002,None,652.511833700002,None,652.511833700002,None,654.122082959999,None,654.122082959999,None,654.122082959999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,15,2022-05-12_10h33.53.725,Main,2022.1.1,61.1814629952948
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,17,233,10,,NaN,NaN,,NaN,,NaN,,main,2,2,2,neutral,neutral,k,k,1,0.799440399998275,654.122161799998,655.1221554,655.1221554,None,654.122161799998,None,654.122161799998,None,654.122161799998,None,655.922432560001,None,655.922432560001,None,655.922432560001,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,15,2022-05-12_10h33.53.725,Main,2022.1.1,61.1814629952948
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13,0,234,17,,NaN,NaN,,NaN,,NaN,,main,2,2,2,neutral,positive,j,j,1,0.71445870000025,655.926616800003,656.939146900004,656.922478400003,None,655.926616800003,None,655.926616800003,None,655.926616800003,None,657.639142860004,None,657.639142860004,None,657.639142860004,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,15,2022-05-12_10h33.53.725,Main,2022.1.1,61.1814629952948
negative,positive,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13,1,235,15,,NaN,NaN,,NaN,,NaN,,main,2,2,2,positive,negative,l,k,0,0.731166799996572,657.643411000005,658.655798799999,658.641482400002,None,657.643411000005,None,657.643411000005,None,657.643411000005,None,659.372425000001,None,659.372425000001,None,659.372425000001,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,15,2022-05-12_10h33.53.725,Main,2022.1.1,61.1814629952948
positive,negative,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13,2,236,5,,NaN,NaN,,NaN,,NaN,,main,2,2,1,negative,positive,j,j,1,1.13475520000065,660.373429300002,661.374576200004,661.358002699999,None,660.373429300002,None,660.373429300002,None,660.373429300002,None,662.505593460002,None,662.505593460002,None,662.505593460002,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,15,2022-05-12_10h33.53.725,Main,2022.1.1,61.1814629952948
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13,3,237,1,,NaN,NaN,,NaN,,NaN,,main,2,2,1,neutral,neutral,k,k,1,0.681035800000245,662.509553000004,663.5219679,663.505293900002,None,662.509553000004,None,662.509553000004,None,662.509553000004,None,664.188528459999,None,664.188528459999,None,664.188528459999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,15,2022-05-12_10h33.53.725,Main,2022.1.1,61.1814629952948
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13,4,238,16,,NaN,NaN,,NaN,,NaN,,main,2,2,2,negative,neutral,k,k,1,0.632507399997849,664.188664400004,665.1886208,665.1886208,None,664.188664400004,None,664.188664400004,None,664.188664400004,None,665.821887459999,None,665.821887459999,None,665.821887459999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,15,2022-05-12_10h33.53.725,Main,2022.1.1,61.1814629952948
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13,5,239,13,,NaN,NaN,,NaN,,NaN,,main,1,1,2,positive,neutral,k,k,1,0.600239200000942,665.823483300002,666.838860000003,666.821971400001,None,665.823483300002,None,665.823483300002,None,665.823483300002,None,667.424538560001,None,667.424538560001,None,667.424538560001,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,15,2022-05-12_10h33.53.725,Main,2022.1.1,61.1814629952948
negative,positive,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13,6,240,6,,NaN,NaN,,NaN,,NaN,,main,1,1,1,positive,negative,l,l,1,0.696300000003248,667.4278538,668.438910500001,668.422246100003,None,667.4278538,None,667.4278538,None,667.4278538,None,669.122135459998,None,669.122135459998,None,669.122135459998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,15,2022-05-12_10h33.53.725,Main,2022.1.1,61.1814629952948
negative,negative,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13,7,241,9,,NaN,NaN,,NaN,,NaN,,main,2,2,2,negative,negative,l,l,1,0.548260399998981,669.125942999999,670.141203300002,670.124582800003,None,669.125942999999,None,669.125942999999,None,669.125942999999,None,670.672115360001,None,670.672115360001,None,670.672115360001,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,15,2022-05-12_10h33.53.725,Main,2022.1.1,61.1814629952948
