target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,sound_1_started,sound_1_stopped,image_4_started,image_4_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
negative,negative,2,j,l,NaN,NaN,NaN,NaN,1,11,29,9,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,negative,negative,j,j,1,0.779120399965905,114.973078100011,115.987257700006,115.970509900013,None,114.973078100011,None,114.973078100011,None,114.973078100011,None,116.751351730042,None,116.751351730042,None,116.751351730042,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,1,12,30,16,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,negative,neutral,k,k,1,0.682567199983168,116.75556369999,117.770439399988,117.737163999991,None,116.75556369999,None,116.75556369999,None,116.75556369999,None,118.434915030043,None,118.434915030043,None,118.434915030043,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,1,13,31,7,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,1,negative,neutral,k,k,1,0.731852199998684,118.437949899992,119.437039499986,119.420356900024,None,118.437949899992,None,118.437949899992,None,118.437949899992,None,120.168191430002,None,120.168191430002,None,120.168191430002,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
positive,positive,1,l,j,NaN,NaN,NaN,NaN,1,14,32,2,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,positive,positive,l,l,1,0.803196799999569,120.173895600019,121.186989900016,121.153749499994,None,120.173895600019,None,120.173895600019,None,120.173895600019,None,121.971272829996,None,121.971272829996,None,121.971272829996,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,1,15,33,4,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,positive,neutral,k,k,1,0.728116100013722,121.984636600013,122.98446300003,122.967772000004,None,121.984636600013,None,121.984636600013,None,121.984636600013,None,123.701135630038,None,123.701135630038,None,123.701135630038,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,1,16,34,13,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,positive,neutral,k,k,1,0.683448399999179,123.701929700037,124.703692700015,124.703692700015,None,123.701929700037,None,123.701929700037,None,123.701929700037,None,125.387126230012,None,125.387126230012,None,125.387126230012,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
positive,negative,2,l,j,NaN,NaN,NaN,NaN,1,17,35,14,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,negative,positive,l,l,1,0.731776200002059,125.390917500015,126.403497499996,126.386905700027,None,125.390917500015,None,125.390917500015,None,125.390917500015,None,127.120399230003,None,127.120399230003,None,127.120399230003,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,127.120321800001,None,None,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,0.6259259,-0.30925927,1,0,0,0.011363830009941,None,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,3,,NaN,NaN,,NaN,,131.767582700006,None,main,2,2,1,neutral,negative,j,j,1,0.899833399977069,133.771958900033,134.78677320003,134.770151200006,None,133.771958900033,None,133.771958900033,None,133.771958900033,None,135.670067730028,None,135.670067730028,None,135.670067730028,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,606,2023-11-20_16h57.56.600,Main,2022.1.1,60.0074769326725
